data,CCI,CPI,PMI,NHS,NHSD,HMI,COP
1990/1/1,4680,127.4,47.2,151700,1551000,42,40.54
1990/2/1,4685,128,49.1,150900,1437000,44,38.94
1990/3/1,4691,128.7,49.9,144600,1289000,40,37.12
1990/4/1,4693,128.9,50,153400,1248000,39,32.57
1990/5/1,4707,129.2,49.5,150600,1212000,36,31.37
1990/6/1,4732,129.9,49.2,150400,1177000,36,29.39
1990/7/1,4734,130.4,46.6,149800,1171000,32,31.94
1990/8/1,4752,131.6,46.1,144700,1115000,30,46.46
1990/9/1,4774,132.7,44.5,142100,1110000,31,56.83
1990/10/1,4771,133.5,43.2,153000,1014000,28,62.12
1990/11/1,4787,133.8,41.3,143300,1145000,25,56.91
1990/12/1,4777,133.8,40.8,153400,969000,22,48
1991/1/1,4777,134.6,39.2,148600,798000,20,41.72
1991/2/1,4773,134.8,39.4,147800,965000,27,34.21
1991/3/1,4772,135,40.7,156400,921000,36,32.87
1991/4/1,4766,135.2,42.8,150800,1001000,41,34.17
1991/5/1,4801,135.6,44.5,145400,996000,40,34.12
1991/6/1,4818,136,50.3,145900,1036000,42,32.95
1991/7/1,4854,136.2,50.6,148200,1063000,41,33.57
1991/8/1,4892,136.6,52.9,141800,1049000,36,34.52
1991/9/1,4891,137.2,54.9,147300,1015000,37,34.95
1991/10/1,4892,137.4,53.1,147400,1079000,37,36.48
1991/11/1,4896,137.8,49.5,141700,1103000,37,35.39
1991/12/1,4889,137.9,46.8,143000,1079000,35,31.31
1992/1/1,4888,138.1,47.3,144200,1176000,44,29.34
1992/2/1,4884,138.6,52.7,144800,1250000,49,29.09
1992/3/1,4927,139.3,54.6,144800,1297000,46,29.64
1992/4/1,4946,139.5,52.6,145000,1099000,46,31.4
1992/5/1,4965,139.7,55.7,146000,1214000,47,33.9
1992/6/1,4973,140.2,53.6,146600,1145000,45,35.67
1992/7/1,4992,140.5,53.9,137700,1139000,46,35.41
1992/8/1,5032,140.9,53.4,145300,1226000,49,34.46
1992/9/1,5042,141.3,49.7,142200,1186000,48,34.4
1992/10/1,5052,141.8,50.3,148400,1244000,50,34.4
1992/11/1,5058,142,53.6,147200,1214000,54,32.63
1992/12/1,5059,141.9,54.2,146200,1227000,56,30
1993/1/1,5071,142.6,55.8,138900,1210000,55,29.65
1993/2/1,5070,143.1,55.2,149400,1210000,52,30.66
1993/3/1,5106,143.6,53.5,146600,1083000,53,31.34
1993/4/1,5167,144,50.2,148400,1258000,52,32.16
1993/5/1,5262,144.2,51.2,152300,1260000,51,31.27
1993/6/1,5260,144.4,49.6,145700,1280000,53,29.34
1993/7/1,5252,144.4,50.2,143400,1254000,57,27.57
1993/8/1,5230,144.8,50.7,150600,1300000,60,27.22
1993/9/1,5255,145.1,50.8,150100,1343000,62,26.63
1993/10/1,5264,145.7,53.4,146900,1392000,66,26.98
1993/11/1,5278,145.8,53.8,152500,1376000,71,24.25
1993/12/1,5310,145.8,55.6,146400,1533000,71,21.64
1994/1/1,5336,146.2,56,153400,1272000,70,22.27
1994/2/1,5371,146.7,56.5,150700,1337000,64,22.16
1994/3/1,5381,147.2,56.9,152800,1564000,61,22.58
1994/4/1,5405,147.4,57.4,152900,1465000,61,24.89
1994/5/1,5405,147.5,58.2,151800,1526000,59,26.89
1994/6/1,5408,148,58.8,158400,1409000,57,29.04
1994/7/1,5409,148.4,58.5,144400,1439000,53,29.75
1994/8/1,5424,149,58,154900,1450000,53,28.18
1994/9/1,5437,149.4,59,157200,1474000,50,26.86
1994/10/1,5437,149.5,59.4,153000,1450000,49,27.45
1994/11/1,5439,149.7,59.2,155400,1511000,50,27.69
1994/12/1,5439,149.7,56.1,159600,1455000,43,26.49
1995/1/1,5443,150.3,57.4,147400,1407000,40,27.73
1995/2/1,5444,150.9,55.1,160200,1316000,42,28.74
1995/3/1,5435,151.4,52.1,153300,1249000,40,28.69
1995/4/1,5432,151.9,51.5,157800,1267000,42,31.05
1995/5/1,5433,152.2,46.7,158000,1314000,43,30.75
1995/6/1,5432,152.5,45.9,160200,1281000,45,28.82
1995/7/1,5484,152.5,50.7,154200,1461000,49,27.25
1995/8/1,5506,152.9,47.1,162000,1416000,50,27.26
1995/9/1,5491,153.2,48.1,155600,1369000,51,27.51
1995/10/1,5511,153.7,46.7,156200,1369000,55,26.75
1995/11/1,5519,153.6,45.9,160700,1452000,52,27.09
1995/12/1,5524,153.5,46.2,165600,1431000,53,28.71
1996/1/1,5523,154.4,45.5,155300,1467000,54,28.48
1996/2/1,5532,154.9,45.9,163700,1491000,49,28.89
1996/3/1,5537,155.7,46.9,162100,1424000,59,32.25
1996/4/1,5550,156.3,49.3,170000,1516000,60,34.44
1996/5/1,5572,156.6,49.1,163300,1504000,61,32.42
1996/6/1,5597,156.7,53.6,166500,1467000,59,31.07
1996/7/1,5617,157,49.7,168400,1472000,58,31.46
1996/8/1,5652,157.3,51.6,159700,1557000,56,32.91
1996/9/1,5683,157.8,51.1,167400,1475000,55,35.22
1996/10/1,5719,158.3,50.5,168400,1392000,56,36.99
