time,price
Jan-1990,4680
Feb-1990,4685
Mar-1990,4691
Apr-1990,4693
May-1990,4707
Jun-1990,4732
Jul-1990,4734
Aug-1990,4752
Sep-1990,4774
Oct-1990,4771
Nov-1990,4787
Dec-1990,4777
Jan-1991,4777
Feb-1991,4773
Mar-1991,4772
Apr-1991,4766
May-1991,4801
Jun-1991,4818
Jul-1991,4854
Aug-1991,4892
Sep-1991,4891
Oct-1991,4892
Nov-1991,4896
Dec-1991,4889
Jan-1992,4888
Feb-1992,4884
Mar-1992,4927
Apr-1992,4946
May-1992,4965
Jun-1992,4973
Jul-1992,4992
Aug-1992,5032
Sep-1992,5042
Oct-1992,5052
Nov-1992,5058
Dec-1992,5059
Jan-1993,5071
Feb-1993,5070
Mar-1993,5106
Apr-1993,5167
May-1993,5262
Jun-1993,5260
Jul-1993,5252
Aug-1993,5230
Sep-1993,5255
Oct-1993,5264
Nov-1993,5278
Dec-1993,5310
Jan-1994,5336
Feb-1994,5371
Mar-1994,5381
Apr-1994,5405
May-1994,5405
Jun-1994,5408
Jul-1994,5409
Aug-1994,5424
Sep-1994,5437
Oct-1994,5437
Nov-1994,5439
Dec-1994,5439
Jan-1995,5443
Feb-1995,5444
Mar-1995,5435
Apr-1995,5432
May-1995,5433
Jun-1995,5432
Jul-1995,5484
Aug-1995,5506
Sep-1995,5491
Oct-1995,5511
Nov-1995,5519
Dec-1995,5524
Jan-1996,5523
Feb-1996,5532
Mar-1996,5537
Apr-1996,5550
May-1996,5572
Jun-1996,5597
Jul-1996,5617
Aug-1996,5652
Sep-1996,5683
Oct-1996,5719
Nov-1996,5740
Dec-1996,5744
Jan-1997,5765
Feb-1997,5769
Mar-1997,5759
Apr-1997,5799
May-1997,5837
Jun-1997,5860
Jul-1997,5863
Aug-1997,5854
Sep-1997,5851
Oct-1997,5848
Nov-1997,5838
Dec-1997,5858
Jan-1998,5852
Feb-1998,5874
Mar-1998,5875
Apr-1998,5883
May-1998,5881
Jun-1998,5895
Jul-1998,5921
Aug-1998,5929
Sep-1998,5963
Oct-1998,5986
Nov-1998,5995
Dec-1998,5991
Jan-1999,6000
Feb-1999,5992
Mar-1999,5986
Apr-1999,6008
May-1999,6006
Jun-1999,6039
Jul-1999,6076
Aug-1999,6091
Sep-1999,6128
Oct-1999,6134
Nov-1999,6127
Dec-1999,6127
Jan-2000,6130
Feb-2000,6160
Mar-2000,6202
Apr-2000,6201
May-2000,6233
Jun-2000,6238
Jul-2000,6225
Aug-2000,6233
Sep-2000,6224
Oct-2000,6259
Nov-2000,6266
Dec-2000,6283
2001-Jan,6281
2001-Feb,6272
2001-Mar,6279
2001-Apr,6286
2001-May,6288
2001-Jun,6318
2001-Jul,6404
2001-Aug,6389
2001-Sep,6391
2001-Oct,6397
2001-Nov,6410
2001-Dec,6390
2002-Jan,6462
2002-Feb,6462
2002-Mar,6502
2002-Apr,6480
2002-May,6512
2002-Jun,6532
2002-Jul,6605
2002-Aug,6592
2002-Sep,6589
2002-Oct,6579
2002-Nov,6578
2002-Dec,6563
2003-Jan,6581
2003-Feb,6640
2003-Mar,6627
2003-Apr,6635
2003-May,6642
2003-Jun,6694
2003-Jul,6695
2003-Aug,6733
2003-Sep,6741
2003-Oct,6771
2003-Nov,6794
2003-Dec,6782
2004-Jan,6825
2004-Feb,6862
2004-Mar,6957
2004-Apr,7017
2004-May,7065
2004-Jun,7109
2004-Jul,7126
2004-Aug,7188
2004-Sep,7298
2004-Oct,7314
2004-Nov,7312
2004-Dec,7308
2005-Jan,7297
2005-Feb,7298
2005-Mar,7309
2005-Apr,7355
2005-May,7398
2005-Jun,7415
2005-Jul,7422
2005-Aug,7479
2005-Sep,7540
2005-Oct,7563
2005-Nov,7630
2005-Dec,7647
2006-Jan,7660
2006-Feb,7689
2006-Mar,7692
2006-Apr,7695
2006-May,7691
2006-Jun,7700
2006-Jul,7721
2006-Aug,7722
2006-Sep,7763
2006-Oct,7883
2006-Nov,7911
2006-Dec,7888
2007-Jan,7880
2007-Feb,7880
2007-Mar,7856
2007-Apr,7865
2007-May,7942
2007-Jun,7939
2007-Jul,7959
2007-Aug,8007
2007-Sep,8050
2007-Oct,8045
2007-Nov,8092
2007-Dec,8089
2008-Jan,8090
2008-Feb,8094
2008-Mar,8109
2008-Apr,8112
2008-May,8141
2008-Jun,8185
2008-Jul,8293
2008-Aug,8362
2008-Sep,8557
2008-Oct,8623
2008-Nov,8602
2008-Dec,8551
2009-Jan,8549
2009-Feb,8533
2009-Mar,8534
2009-Apr,8528
2009-May,8574
2009-Jun,8578
2009-Jul,8566
2009-Aug,8564
2009-Sep,8586
2009-Oct,8596
2009-Nov,8592
2009-Dec,8641
2010-Jan,8660
2010-Feb,8672
2010-Mar,8671
2010-Apr,8677
2010-May,8761
2010-Jun,8805
2010-Jul,8844
2010-Aug,8837
2010-Sep,8836
2010-Oct,8921
2010-Nov,8951
2010-Dec,8952
2011-Jan,8938
2011-Feb,8998
2011-Mar,9011
2011-Apr,9027
2011-May,9035
2011-Jun,9053
2011-Jul,9080
2011-Aug,9088
2011-Sep,9116
2011-Oct,9147
2011-Nov,9173
2011-Dec,9172
2012-Jan,9176
2012-Feb,9198
2012-Mar,9268
2012-Apr,9273
2012-May,9290
2012-Jun,9291
2012-Jul,9324
2012-Aug,9351
2012-Sep,9341
2012-Oct,9376
2012-Nov,9398
2012-Dec,9412
2013-Jan,9437
2013-Feb,9453
2013-Mar,9456
2013-Apr,9484
2013-May,9516
2013-Jun,9542
2013-Jul,9552
2013-Aug,9545
2013-Sep,9552
2013-Oct,9689
2013-Nov,9666
2013-Dec,9668
2014-Jan,9664
2014-Feb,9681
2014-Mar,9702
2014-Apr,9750
2014-May,9796
2014-Jun,9800
2014-Jul,9835
